hodnota,rok,orp,okres,kraj,typHodnoty,pohlavi,vekovaSkupina
1248.3735622446,2017,,,CZ010,1,0,0
1544.6987733362,2017,,,CZ020,1,0,0
858.28718044995,2017,,,CZ031,1,0,0
734.08053478078,2017,,,CZ032,1,0,0
1474.8096965276,2017,,,CZ041,1,0,0
491.26790484532,2017,,,CZ042,1,0,0
1733.3659912821,2017,,,CZ051,1,0,0
2812.2095387475,2017,,,CZ052,1,0,0
1903.3607028031,2017,,,CZ053,1,0,0
1508.8545680449,2017,,,CZ063,1,0,0
1056.437355408,2017,,,CZ064,1,0,0
1466.3585692106,2017,,,CZ071,1,0,0
570.80229624433,2017,,,CZ072,1,0,0
422.05729742533,2017,,,CZ080,1,0,0
1188.1551638855,2017,,,CZ000,1,0,0
2120.6,2009,,CZ0100,,1,0,0
666.3,2009,,CZ0806,,1,0,0
827.6,2012,,CZ0806,,1,0,0
672.2,2011,,CZ0803,,1,0,0
609.6,2010,,CZ0803,,1,0,0
0,2015,,CZ0804,,1,0,0
4779,2007,,CZ0804,,1,0,0
924.8,2011,,CZ0635,,1,0,0
795.1,2010,,CZ0633,,1,0,0
811.1,2009,,CZ0633,,1,0,0
380,2009,,CZ0711,,1,0,0
534.9,2013,,CZ0711,,1,0,0
136.2,2009,,CZ0643,,1,0,0
1395.2,2012,,CZ0644,,1,0,0
1565.4,2012,,CZ0645,,1,0,0
750.07,2007,,CZ0645,,1,0,0
804.4,2013,,CZ0721,,1,0,0
865.6,2009,,CZ0721,,1,0,0
1653.6,2010,,CZ0715,,1,0,0
1263.3,2008,,CZ0714,,1,0,0
396.9,2011,,CZ0713,,1,0,0
1360,2008,,CZ0724,,1,0,0
376.5,2012,,CZ0801,,1,0,0
542.3,2012,,CZ0802,,1,0,0
658.03,2007,,CZ0802,,1,0,0
2781,2013,,CZ0724,,1,0,0
750.3,2012,,CZ0723,,1,0,0
0,2014,,,CZ020,1,0,0
0,1999,,,CZ031,1,0,0
1374.4,2005,,,CZ031,1,0,0
1192.3,2001,,,CZ031,1,0,0
876,2008,,,CZ041,1,0,0
985.3,2010,,,CZ041,1,0,0
0,1996,,,CZ032,1,0,0
0,2000,,,CZ032,1,0,0
0,1996,,,CZ041,1,0,0
1875.2,2013,,,CZ053,1,0,0
1784.4,2005,,,CZ052,1,0,0
1686.5,2002,,,CZ052,1,0,0
0,1997,,,CZ042,1,0,0
2185.5,2005,,,CZ051,1,0,0
2334,2001,,,CZ053,1,0,0
2026.3,2003,,,CZ053,1,0,0
1907.4,2005,,,CZ053,1,0,0
0,1998,,,CZ063,1,0,0
0,1998,,,CZ064,1,0,0
0,2014,,,CZ072,1,0,0
0,1997,,,CZ072,1,0,0
0,1995,,,CZ064,1,0,0
1305.1,2007,,,CZ071,1,0,0
1016.1,2010,,,CZ071,1,0,0
0,1995,,,CZ010,1,0,0
1234.7,2012,,,CZ000,1,0,0
1399.9,2010,,,CZ000,1,0,0
1467.3,2008,,,CZ010,1,0,0
1390.5,2012,,,CZ010,1,0,0
0,1999,,,CZ080,1,0,0
744.1,2009,,,CZ080,1,0,0
79.8,2013,,CZ0206,,1,0,0
891.8,2012,,CZ0205,,1,0,0
6.7,2010,,CZ020A,,1,0,0
998.8,2009,,CZ0203,,1,0,0
0,2015,,CZ0203,,1,0,0
183.2,2013,,CZ0201,,1,0,0
1289.9,2003,,,CZ000,1,0,0
1240.6,2007,,,CZ000,1,0,0
1161.6,2008,,,CZ000,1,0,0
792.8,2008,,CZ0313,,1,0,0
1190.1,2013,,CZ0315,,1,0,0
97,2010,,CZ0315,,1,0,0
827.3,2010,,CZ0316,,1,0,0
2534.6,2010,,CZ0317,,1,0,0
343.4,2011,,CZ0322,,1,0,0
1606.93,2007,,CZ0323,,1,0,0
914.3,2009,,CZ0324,,1,0,0
0,2015,,CZ0325,,1,0,0
0,2015,,CZ0327,,1,0,0
1209.7,2010,,CZ0413,,1,0,0
478,2013,,CZ0412,,1,0,0
1355.6,2012,,CZ0411,,1,0,0
516.59,2007,,CZ0327,,1,0,0
568.1,2013,,CZ0423,,1,0,0
1028.8,2009,,CZ0424,,1,0,0
1711.6,2013,,CZ0424,,1,0,0
600.1,2013,,CZ0426,,1,0,0
137.3,2009,,CZ0425,,1,0,0
2916.7,2013,,CZ0511,,1,0,0
325.86,2007,,CZ0511,,1,0,0
1331.9,2010,,CZ0512,,1,0,0
0,2015,,CZ0512,,1,0,0
1540.5,2009,,CZ0514,,1,0,0
2493.1,2008,,CZ0521,,1,0,0
2409.8,2012,,CZ0521,,1,0,0
755.89,2007,,CZ0531,,1,0,0
1261.4,2009,,CZ0522,,1,0,0
1228.3,2011,,CZ0523,,1,0,0
0,2015,,CZ0524,,1,0,0
1528.4,2010,,CZ0524,,1,0,0
3096.5,2013,,CZ0532,,1,0,0
1678.19,2007,,CZ0534,,1,0,0
1890.4,2010,,CZ0534,,1,0,0
1477.9,2009,,CZ0631,,1,0,0
1248.3735622446,2017,,CZ0100,,1,0,0
462.91554863686,2017,,CZ0201,,1,0,0
10601.69731876,2017,,CZ0202,,1,0,0
626.53728019188,2017,,CZ0203,,1,0,0
970.93203475757,2017,,CZ0204,,1,0,0
3202.0493115594,2017,,CZ0205,,1,0,0
332.40634100209,2017,,CZ0206,,1,0,0
446.43909800439,2017,,CZ0207,,1,0,0
681.25432138935,2017,,CZ0208,,1,0,0
652.7662259443,2017,,CZ0209,,1,0,0
2.1175822857183,2017,,CZ020A,,1,0,0
2234.6026692788,2017,,CZ020B,,1,0,0
1686.1547358719,2017,,CZ020C,,1,0,0
1445.7756243476,2017,,CZ0311,,1,0,0
112.94626049664,2017,,CZ0312,,1,0,0
58.282748306501,2017,,CZ0313,,1,0,0
221.40429552538,2017,,CZ0314,,1,0,0
1229.9201734503,2017,,CZ0315,,1,0,0
997.62268636441,2017,,CZ0316,,1,0,0
1069.633743327,2017,,CZ0317,,1,0,0
532.38253394549,2017,,CZ0321,,1,0,0
334.54882213347,2017,,CZ0322,,1,0,0
1320.791628994,2017,,CZ0323,,1,0,0
370.45908183633,2017,,CZ0324,,1,0,0
427.11543625878,2017,,CZ0325,,1,0,0
570.60161256977,2017,,CZ0326,,1,0,0
557.45979132924,2017,,CZ0327,,1,0,0
3126.2267195883,2017,,CZ0411,,1,0,0
973.20230313001,2017,,CZ0412,,1,0,0
422.93285940857,2017,,CZ0413,,1,0,0
139.41979914356,2017,,CZ0421,,1,0,0
345.34111491246,2017,,CZ0422,,1,0,0
586.05359878771,2017,,CZ0423,,1,0,0
719.08290875405,2017,,CZ0424,,1,0,0
429.58834075941,2017,,CZ0425,,1,0,0
550.72599239733,2017,,CZ0426,,1,0,0
762.61669711547,2017,,CZ0427,,1,0,0
1003.6788615913,2017,,CZ0511,,1,0,0
902.37718259021,2017,,CZ0512,,1,0,0
3006.1459239334,2017,,CZ0513,,1,0,0
777.18456443874,2017,,CZ0514,,1,0,0
6671.7274986838,2017,,CZ0521,,1,0,0
2872.269520492,2017,,CZ0522,,1,0,0
377.392642201,2017,,CZ0523,,1,0,0
880.24149564953,2017,,CZ0524,,1,0,0
1009.726413027,2017,,CZ0525,,1,0,0
420.0146092038,2017,,CZ0531,,1,0,0
4376.5184077742,2017,,CZ0532,,1,0,0
1395.2371807183,2017,,CZ0533,,1,0,0
334.47727948805,2017,,CZ0534,,1,0,0
1323.0873449342,2017,,CZ0631,,1,0,0
4782.9749501219,2017,,CZ0632,,1,0,0
122.20694635393,2017,,CZ0633,,1,0,0
310.54228221652,2017,,CZ0634,,1,0,0
505.99223636703,2017,,CZ0635,,1,0,0
1068.0920202356,2017,,CZ0641,,1,0,0
1540.0758012253,2017,,CZ0642,,1,0,0
102.39251071922,2017,,CZ0643,,1,0,0
2212.7644850435,2017,,CZ0644,,1,0,0
466.18839190904,2017,,CZ0645,,1,0,0
424.08170421671,2017,,CZ0646,,1,0,0
1405.1192768648,2017,,CZ0647,,1,0,0
445.87628865979,2017,,CZ0711,,1,0,0
663.90218878249,2017,,CZ0712,,1,0,0
1006.6249539934,2017,,CZ0713,,1,0,0
1149.6540322087,2017,,CZ0714,,1,0,0
4097.9477226742,2017,,CZ0715,,1,0,0
727.75388686735,2017,,CZ0721,,1,0,0
379.92907054321,2017,,CZ0722,,1,0,0
428.52257420629,2017,,CZ0723,,1,0,0
732.42289461045,2017,,CZ0724,,1,0,0
220.13596633215,2017,,CZ0801,,1,0,0
576.75368728799,2017,,CZ0802,,1,0,0
271.25171280076,2017,,CZ0803,,1,0,0
127.25246757699,2017,,CZ0804,,1,0,0
257.76700129167,2017,,CZ0805,,1,0,0
723.02816835962,2017,,CZ0806,,1,0,0
1390.5,2012,,CZ0100,,1,0,0
741.5,2008,,CZ0806,,1,0,0
0,2015,,CZ0806,,1,0,0
794.6,2011,,CZ0806,,1,0,0
1476,2009,,CZ0644,,1,0,0
108.7,2008,,CZ0643,,1,0,0
117.9,2012,,CZ0643,,1,0,0
609.7,2013,,CZ0641,,1,0,0
2436.7,2010,,CZ0642,,1,0,0
684.5,2011,,CZ0646,,1,0,0
859.1,2013,,CZ0713,,1,0,0
447.8,2012,,CZ0712,,1,0,0
479.36,2007,,CZ0711,,1,0,0
731.9,2012,,CZ0722,,1,0,0
3386.4,2011,,CZ0724,,1,0,0
0,2015,,CZ0724,,1,0,0
845.1,2010,,CZ0723,,1,0,0
1803.6,2008,,CZ0721,,1,0,0
953.1,2009,,CZ0715,,1,0,0
1502.7,2011,,CZ0715,,1,0,0
503.12,2007,,CZ0805,,1,0,0
2082.3,2012,,CZ0804,,1,0,0
1650.5,2011,,CZ0804,,1,0,0
878.6,2007,,,CZ042,1,0,0
804.9,2002,,,CZ042,1,0,0
0,2014,,,CZ041,1,0,0
1118.3,2006,,,CZ041,1,0,0
1087.4,2004,,,CZ032,1,0,0
1355.9,2011,,,CZ031,1,0,0
765.8,2013,,,CZ031,1,0,0
956,2005,,,CZ020,1,0,0
749.2,2008,,,CZ020,1,0,0
1035.6,2002,,,CZ020,1,0,0
1313.2,2009,,,CZ031,1,0,0
1435.9,2003,,,CZ031,1,0,0
702.2,2013,,,CZ032,1,0,0
1714.7,2003,,,CZ052,1,0,0
0,1999,,,CZ052,1,0,0
841.1,2004,,,CZ051,1,0,0
1456.9,2009,,,CZ064,1,0,0
1225.4,2001,,,CZ064,1,0,0
1114.5,2011,,,CZ064,1,0,0
0,1996,,,CZ063,1,0,0
1267.6,2011,,,CZ063,1,0,0
1067.6,2007,,,CZ063,1,0,0
0,1995,,,CZ072,1,0,0
1117.1,2007,,,CZ080,1,0,0
1014.9,2007,,,CZ072,1,0,0
0,1998,,,CZ072,1,0,0
857.5,2003,,,CZ072,1,0,0
887.5,2011,,,CZ071,1,0,0
0,2000,,,CZ071,1,0,0
0,2000,,,CZ010,1,0,0
0,2000,,,CZ080,1,0,0
1319.3,2002,,,CZ000,1,0,0
0,1998,,,CZ000,1,0,0
0,1995,,,CZ000,1,0,0
209.1,2012,,CZ0201,,1,0,0
1249.2,2011,,,CZ000,1,0,0
1656.98,2007,,CZ0205,,1,0,0
88.2,2012,,CZ0206,,1,0,0
966.6,2009,,CZ0202,,1,0,0
1448.1,2012,,CZ0203,,1,0,0
398.2,2008,,CZ0207,,1,0,0
1396.5,2009,,CZ0208,,1,0,0
1064.5,2010,,CZ0208,,1,0,0
3.2,2012,,CZ020A,,1,0,0
12.3,2013,,CZ020A,,1,0,0
0,2008,,CZ020A,,1,0,0
28.8,2009,,CZ020A,,1,0,0
1478.2,2012,,CZ020B,,1,0,0
631.9,2008,,CZ0311,,1,0,0
1370.59,2007,,CZ020C,,1,0,0
1890.8,2012,,CZ020C,,1,0,0
3086.9,2009,,CZ0312,,1,0,0
0,2015,,CZ0313,,1,0,0
806,2011,,CZ0313,,1,0,0
1665.67,2007,,CZ0314,,1,0,0
347.8,2008,,CZ0322,,1,0,0
335.1,2012,,CZ0322,,1,0,0
666,2010,,CZ0321,,1,0,0
1914.3,2011,,CZ0317,,1,0,0
0,2015,,CZ0317,,1,0,0
868.6,2012,,CZ0316,,1,0,0
1797,2013,,CZ0411,,1,0,0
521.6,2013,,CZ0327,,1,0,0
638.5,2008,,CZ0327,,1,0,0
58.9,2013,,CZ0325,,1,0,0
84.16,2007,,CZ0325,,1,0,0
874.3,2013,,CZ0323,,1,0,0
971.8,2008,,CZ0413,,1,0,0
738.8,2012,,CZ0413,,1,0,0
530.4,2011,,CZ0422,,1,0,0
572.2,2011,,CZ0421,,1,0,0
0,2015,,CZ0421,,1,0,0
691.8,2008,,CZ0423,,1,0,0
592.7,2011,,CZ0423,,1,0,0
535.8,2010,,CZ0423,,1,0,0
500.7,2013,,CZ0425,,1,0,0
1415.8,2008,,CZ0424,,1,0,0
1661.4,2010,,CZ0424,,1,0,0
