leaf-shread,stem,lodging,stem-cankers,canker-lesion,fruiting-bodies,external-decay,fruit-pods,fruit-spots,seed,seed-discolor,seed-size,shriveling,class
absent,norm,yes,absent,dna,absent,absent,norm,absent,norm,absent,norm,absent,brown-spot
absent,norm,yes,absent,dna,absent,absent,norm,absent,norm,absent,norm,absent,brown-spot
present,norm,yes,absent,dna,absent,absent,norm,absent,norm,absent,norm,absent,brown-spot
present,norm,yes,absent,dna,absent,absent,norm,absent,norm,absent,norm,absent,brown-spot
absent,norm,yes,absent,dna,absent,absent,norm,absent,norm,absent,norm,absent,brown-spot
present,norm,yes,absent,dna,absent,absent,norm,absent,norm,absent,norm,absent,brown-spot
absent,norm,yes,absent,dna,absent,absent,norm,absent,norm,absent,norm,absent,brown-spot
present,norm,yes,absent,dna,absent,absent,norm,absent,norm,absent,norm,absent,brown-spot
present,norm,yes,absent,dna,absent,absent,norm,absent,norm,absent,norm,absent,brown-spot
present,norm,yes,absent,dna,absent,absent,norm,absent,norm,absent,norm,absent,brown-spot
absent,abnorm,yes,above-sec-nde,brown,present,absent,norm,absent,norm,absent,norm,absent,brown-spot
present,norm,yes,absent,dna,absent,absent,norm,absent,norm,absent,norm,absent,brown-spot
present,norm,yes,absent,dna,absent,absent,norm,absent,norm,absent,norm,absent,brown-spot
present,abnorm,yes,above-sec-nde,brown,present,absent,norm,absent,norm,absent,norm,absent,brown-spot
present,norm,yes,absent,dna,absent,absent,norm,absent,norm,absent,norm,absent,brown-spot
absent,abnorm,yes,above-sec-nde,brown,present,absent,norm,absent,norm,absent,norm,absent,brown-spot
present,norm,yes,absent,dna,absent,absent,norm,absent,norm,absent,norm,absent,brown-spot
absent,norm,yes,absent,dna,absent,absent,norm,absent,norm,absent,norm,absent,brown-spot
absent,norm,yes,absent,dna,absent,absent,norm,absent,norm,absent,norm,absent,brown-spot
present,norm,yes,absent,dna,absent,absent,norm,absent,norm,absent,norm,absent,brown-spot
absent,abnorm,yes,above-sec-nde,brown,present,absent,norm,absent,norm,absent,norm,absent,brown-spot
present,norm,yes,absent,dna,absent,absent,norm,absent,norm,absent,norm,absent,brown-spot
absent,abnorm,yes,absent,tan,present,firm-and-dry,norm,absent,norm,absent,norm,absent,brown-spot
absent,norm,yes,absent,dna,absent,absent,norm,absent,norm,absent,norm,absent,brown-spot
present,norm,yes,absent,dna,absent,absent,norm,absent,norm,absent,norm,absent,brown-spot
present,norm,yes,absent,dna,absent,absent,norm,absent,norm,absent,norm,absent,brown-spot
present,abnorm,yes,above-sec-nde,brown,present,absent,norm,absent,norm,absent,norm,absent,brown-spot
absent,abnorm,yes,above-sec-nde,brown,present,absent,norm,colored,norm,absent,norm,absent,brown-spot
present,abnorm,yes,above-sec-nde,brown,present,absent,norm,absent,norm,absent,norm,absent,brown-spot
